address,price,bedrooms,bathrooms,url
"2145 44th Dr APT 6B, Long Island City, NY 11101","$950,000",1 bd,1 ba,https://www.zillow.com/homedetails/2145-44th-Dr-APT-6B-Long-Island-City-NY-11101/117615025_zpid/
"24-01 Queens Plaza North #1305, Long Island City, NY 11101","$1,845,000",2 bds,2 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1305-Long-Island-City-NY-11101/448691357_zpid/
"44-27 Purves St #8D, Long Island City, NY 11101","$935,000",1 bd,2 ba,https://www.zillow.com/homedetails/44-27-Purves-St-8D-Long-Island-City-NY-11101/83052069_zpid/
"1136 45th Rd #502A, Long Island City, NY 11101","$1,575,000",2 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-502A-Long-Island-City-NY-11101/450100888_zpid/
"45-30 Pearson St #17A, Long Island City, NY 11101","$1,005,000",1 bd,1 ba,https://www.zillow.com/homedetails/45-30-Pearson-St-17A-Long-Island-City-NY-11101/2060192228_zpid/
"37-26 32nd St #7E, Long Island City, NY 11101","$890,000",1 bd,1 ba,https://www.zillow.com/homedetails/37-26-32nd-St-7E-Long-Island-City-NY-11101/2062547936_zpid/
"27-17 42nd Rd #14B, Long Island City, NY 11101","$1,250,000",1 bd,1 ba,https://www.zillow.com/homedetails/27-17-42nd-Rd-14B-Long-Island-City-NY-11101/2083155298_zpid/
"27-09 40th Ave #2E, Long Island City, NY 11101","$920,000",1 bd,1 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-2E-Long-Island-City-NY-11101/442370792_zpid/
"3714 34th St #N4C, Long Island City, NY 11101","$625,000",Studio,1 ba,https://www.zillow.com/homedetails/3714-34th-St-N4C-Long-Island-City-NY-11101/2078982485_zpid/
"3 Court Sq #PENTHOUSE 109, Long Island City, NY 11101","$2,975,649",2 bds,2 ba,https://www.zillow.com/homedetails/3-Court-Sq-PENTHOUSE-109-Long-Island-City-NY-11101/448734303_zpid/
"1136 45th Rd #311B, Long Island City, NY 11101","$1,560,000",2 bds,2 ba,https://www.zillow.com/homedetails/1136-45th-Rd-311B-Long-Island-City-NY-11101/450101692_zpid/
"3 Court Sq #3212, Long Island City, NY 11101","$1,350,000",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-3212-Long-Island-City-NY-11101/2080579890_zpid/
"25-21 43rd Ave UNIT PENTHOUSE 5, Long Island City, NY 11101","$990,000",1 bd,1 ba,https://www.zillow.com/homedetails/25-21-43rd-Ave-UNIT-PENTHOUSE-5-Long-Island-City-NY-11101/443422383_zpid/
"3 Court Sq #4004, Long Island City, NY 11101","$1,160,000",1 bd,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-4004-Long-Island-City-NY-11101/2080579899_zpid/
"1136 45th Rd #503A, Long Island City, NY 11101","$1,030,000",1 bd,1 ba,https://www.zillow.com/homedetails/1136-45th-Rd-503A-Long-Island-City-NY-11101/453166210_zpid/
"45-07 Court Sq #6G, Long Island City, NY 11101","$985,000",1 bd,1 ba,https://www.zillow.com/homedetails/45-07-Court-Sq-6G-Long-Island-City-NY-11101/452754209_zpid/
